CellID,X,Y,cluster_name
239,2043.577637,591.1389771,CD31+TAM
240,3788.162842,591.847229,Proliferating Tumor APCs
241,4119.330566,590.9315186,T help
242,3713.767822,592.6793213,Endothelial
243,2298.010742,593.1428833,IDO-1+ Tumor APCs
244,2914.489014,593.8678589,APC T help
245,2144.168701,594.6975098,APC T help
246,2357.577881,595.1703491,CD31+TAM
247,2673.450195,592.0358276,APC T help
248,3332.314209,596.7238159,APC T help
249,2007.072754,599.8786621,CD31+TAM
250,3319.327637,596.9226685,APC T help
251,3886.785645,597.1843872,B cells
252,3177.649414,597.4648438,IDO-1+ Tumor APCs
253,3851.439941,599.4266968,TAM
254,2571.714844,598.3458252,Proliferating Tumor APCs
255,2988.550781,599.0307007,CD31+TAM
256,3073.705322,598.0048218,IDO-1+ Tumor APCs
257,2812.933838,598.8145142,IDO-1+ Tumor APCs
258,3014.023682,602.6331177,Proliferating Tumor APCs
259,3825.685791,599.9139404,IDO-1+ Tumor APCs
260,4278.752441,599.9916382,None2 Immune/cancer Artefacts
261,2218.876465,601.9221802,Proliferating Tumor APCs
262,3352.790527,598.6448975,CD31+TAM
263,3398.34668,602.0550537,Tcyt
264,3459.372314,602.4505615,APC T help
265,3112.763672,605.210144,IDO-1+ Tumor APCs
266,2187.720703,604.9275513,Proliferating Tumor APCs
267,3774.035645,606.4613037,Proliferating Tumor APCs
268,2381.893066,606.8081055,IDO-1+ Tumor APCs
269,3218.839355,607.020752,IDO-1+ Tumor APCs
270,3934.512207,604.7989502,Inflammatory Monocytes
271,4008.33252,606.9624634,CD31+TAM
272,2659.054199,611.4299316,APC T help
273,3587.118164,607.2774658,Proliferating Tumor APCs
274,3620.979736,607.7669678,B cells
275,4248.964844,607.6139526,TAM
276,1962.449219,611.0531616,Treg
277,2623.427979,608.8572998,TAM
278,3249.616211,610.6971436,CD31+TAM
279,2856.515869,611.0162354,IDO-1+ Tumor APCs
280,3300.535889,611.8821411,CD31+TAM
281,2290.259521,611.8765869,APC T help
282,3643.292969,611.7230835,APC T help
283,4039.624756,611.3037109,CD31+TAM
284,2961.122559,613.3602905,CD31+TAM
285,3190.488281,612.6817627,IDO-1+ Tumor APCs
286,3547.959229,612.6210938,Proliferating Tumor APCs
287,4066.97998,613.3228149,Endothelial
288,2326.678223,614.5119019,IDO-1+ Tumor APCs
289,2721.518311,614.2397461,APC T help
290,3667.108154,615.6196899,B cells
291,2246.525391,616.1466064,Tumor APCs
292,3052.20166,616.1097412,IDO-1+ Tumor APCs
293,3374.735352,616.2878418,CD31+TAM
294,3969.219971,616.5990601,APC T help
295,4187.076172,615.4920044,Inflammatory Monocytes
296,2548.011475,616.4718628,Proliferating Tumor APCs
297,2770.598633,616.9311523,CD31+TAM
298,2483.933594,616.9213867,IDO-1+ Tumor APCs
299,4161.015137,619.5406494,IDO-1+ Tumor APCs
300,2269.642334,620.7403564,IDO-1+ Tumor APCs
301,3516.42334,619.6077271,IDO-1+ Tumor APCs
302,3750.57959,620.1127319,None2 Immune/cancer Artefacts
303,2687.45459,622.8766479,APC T help
304,2917.888184,622.8580322,APC T help
305,3089.943359,624.8464966,IDO-1+ Tumor APCs
306,3802.042236,623.0657349,None2 Immune/cancer Artefacts
307,3907.462646,625.1672974,Tcyt
308,4102.285645,624.123291,CD31+TAM
309,4320.135254,626.3054199,Endothelial
310,2600.754639,627.3797607,TAM
311,2818.610107,627.5112915,Proliferating Tumor APCs
312,3985.984131,629.230896,APC T help
313,3714.830566,629.9237671,Endothelial
314,2166.837646,632.1998291,IDO-1+ Tumor APCs
315,3404.531006,630.8031006,CD31+TAM
316,3122.323486,632.8441772,IDO-1+ Tumor APCs
317,3865.140137,633.9915771,IDO-1+ Tumor APCs
318,4289.660156,634.1402588,Inflammatory Monocytes
319,3195.853271,633.9108276,Proliferating Tumor APCs
320,4347.013184,635.3565063,Endothelial
321,3773.725586,635.2113647,Tumor APCs
322,4255.211426,635.835083,CD31+TAM
323,2396.266357,637.414978,IDO-1+ Tumor APCs
324,2968.605713,637.0856934,APC T help
325,3018.857666,637.4951172,IDO-1+ Tumor APCs
326,4022.270996,639.0703735,CD31+TAM
327,2090.334961,637.2849731,CD31+TAM
328,2200.012451,638.5594482,Proliferating Tumor APCs
329,3171.783447,638.9955444,IDO-1+ Tumor APCs
330,3500.614014,638.5895386,None2 Immune/cancer Artefacts
331,3591.448486,639.7242432,IDO-1+ Tumor APCs
332,3832.365479,637.1917725,IDO-1+ Tumor APCs
333,2240.580322,638.8186646,Tumor APCs
334,3934.895752,640.6360474,APC T help
335,3338.786621,642.2666626,B cells
336,2636.43457,643.1697388,APC T help
337,3147.349609,641.6853638,Proliferating Tumor APCs
338,4151.876465,641.8919678,IDO-1+ Tumor APCs
339,2663.214844,643.4299316,TAM
340,3224.039795,643.1807861,APC T help
341,3364.055664,643.5758667,B cells
342,3553.741455,641.609314,Proliferating Tumor APCs
343,2860.930176,644.2703857,Proliferating Tumor APCs
344,2497.072998,647.763916,Proliferating Tumor APCs
345,3650.97583,647.8803711,B cells
346,2280.616943,650.7965088,IDO-1+ Tumor APCs
347,2904.791748,650.9549561,APC T help
348,4337.832031,651.0547485,None Artefacts
349,2812.344482,651.9797363,IDO-1+ Tumor APCs
350,3968.464355,650.7590942,APC T help
351,2320.004395,653.5484009,IDO-1+ Tumor APCs
352,2688.721191,654.1411743,APC T help
353,2772.845703,655.1542969,APC T help
354,3196.584229,654.7921143,Proliferating Tumor APCs
355,3318.259277,654.7744751,CD31+TAM
356,2152.730469,656.2575073,APC T help
357,2923.988037,656.5648193,T help
358,2602.093994,656.5037842,None2 Immune/cancer Artefacts
359,2978.516602,656.2666016,APC T help
360,3100.631836,657.2331543,Tumor APCs
361,2216.171387,656.1932983,Proliferating Tumor APCs
362,2371.815918,656.4573364,CD31+TAM
363,3755.118896,656.4224243,TAM
364,4390.588379,660.4026489,MPs
365,2248.544922,660.1046143,Proliferating Tumor APCs
366,3421.966309,657.9934082,CD31+TAM
367,3519.447266,659.1707764,IDO-1+ Tumor APCs
368,4102.812012,660.6434937,CD31+TAM
369,4314.060547,662.3113403,None Artefacts
370,3479.993652,663.3010254,TAM
371,3000.506592,664.2642212,Proliferating Tumor APCs
372,3023.447998,663.2741089,Proliferating Tumor APCs
373,4002.408447,663.678894,APC T help
374,3074.420654,664.1165161,Proliferating Tumor APCs
375,3923.616455,665.1329346,APC T help
376,3175.181885,668.1955566,Proliferating Tumor APCs
377,3137.189209,668.2322388,Proliferating Tumor APCs
378,2102.837402,671.7605591,CD31+TAM
379,2173.11084,671.6571045,IDO-1+ Tumor APCs
380,3224.475098,671.8014526,Inflammatory Monocytes
381,3953.737061,672.6408081,APC T help
382,4148.721191,672.550415,CD31+TAM
383,2038.325928,673.8953857,APC T help
384,3557.919678,674.210083,IDO-1+ Tumor APCs
385,2272.197998,676.5767212,Proliferating Tumor APCs
386,3296.016113,676.1080933,B cells
387,3817.279053,676.4024658,IDO-1+ Tumor APCs
388,3661.841309,675.6360474,Endothelial
389,2789.237305,680.3768921,IDO-1+ Tumor APCs
390,2408.80249,677.949585,CD31+TAM
391,2617.23584,682.0275269,B cells
392,2713.19165,680.2961426,CD31+TAM
393,3706.519775,679.7523804,Endothelial
394,3885.883057,679.3388062,APC T help
395,4401.242676,680.1323242,None Artefacts
396,4125.857422,680.640564,Treg
397,4564.19873,681.0958862,None Artefacts
398,2740.874268,681.8947144,APC T help
399,3048.266602,682.6184082,Tumor APCs
400,3626.182861,682.7793579,B cells
401,3746.345215,684.5078735,IDO-1+ Tumor APCs
402,4468.632813,684.9125977,Endothelial
403,2942.846436,685.9544678,APC T help
404,3021.969971,685.1206055,Proliferating Tumor APCs
405,4493.453613,686.6619873,Inflammatory Monocytes
406,4553.681641,685.3407593,None Artefacts
407,2199.088135,688.4448853,IDO-1+ Tumor APCs
408,3268.658447,688.0240479,CD31+TAM
409,4031.196777,686.8667603,CD31+TAM
410,1959.016357,689.4799194,APC T help
411,3415.963379,689.0117798,APC T help
412,2501.898438,689.2852173,IDO-1+ Tumor APCs
413,4319.768066,689.9815674,T help
414,2313.179688,690.117981,TAM
415,3159.757568,691.2867432,Proliferating Tumor APCs
416,3841.001953,691.7473145,IDO-1+ Tumor APCs
417,3988.949219,693.1176758,APC T help
418,4281.209961,692.708374,Inflammatory Monocytes
419,2356.450195,693.7952271,APC T help
420,3584.236328,693.9003906,APC T help
